Data Medicao,TX,LST_Celsius
2020-08-06,25.35,34.950000000000045
2020-08-08,26.25,34.110000000000014
2020-08-09,27.65,37.190000000000055
2020-08-10,26.9,30.33000000000004
2020-08-11,26.7,41.610000000000014
2020-08-14,27.25,36.43000000000001
2020-08-15,27.5,34.39000000000004
2020-09-06,26.9,38.47000000000003
2020-09-07,28.5,44.43000000000001
2020-09-08,27.95,42.51000000000005
2020-09-10,28.5,43.110000000000014
2020-09-11,28.4,38.43000000000001
2020-09-12,27.25,46.21000000000003
2020-09-17,28.15,46.47000000000003
2020-09-18,27.95,42.25000000000006
2020-09-19,28.55,45.13000000000005
2020-09-21,27.75,46.01000000000005
2020-09-22,28.8,41.21000000000003
2020-09-24,28.45,45.43000000000001
2020-09-27,28.4,39.77000000000004
2020-09-28,29.1,39.55000000000001
2020-09-30,29.0,46.01000000000005
2020-10-01,29.1,41.29000000000002
2020-10-02,29.65,45.370000000000005
2020-10-03,29.5,46.370000000000005
2020-10-04,29.4,43.410000000000025
2020-10-05,30.05,47.75000000000006
2020-10-07,29.35,48.97000000000003
2020-10-08,31.65,46.05000000000001
2020-10-09,29.7,46.47000000000003
2020-10-10,30.6,47.79000000000002
2020-10-11,31.0,43.35000000000002
2020-10-12,29.7,48.49000000000001
2020-10-13,29.7,41.410000000000025
2020-10-14,29.0,45.110000000000014
2020-10-16,30.35,49.27000000000004
2020-10-17,29.8,44.170000000000016
2020-10-18,30.25,43.410000000000025
2020-10-19,29.5,43.51000000000005
2020-10-20,29.6,41.81
2020-10-21,30.45,42.59000000000003
2020-10-23,30.95,40.690000000000055
2020-10-25,29.85,45.81
2020-10-26,30.6,47.75000000000006
2020-10-29,29.85,43.150000000000034
2020-10-30,29.85,43.47000000000003
2020-11-01,30.45,45.81
2020-11-06,28.95,42.950000000000045
2020-11-08,29.5,40.13000000000005
2020-11-11,29.75,35.73000000000002
2020-11-12,29.25,39.13000000000005
2020-11-13,29.6,47.610000000000014
2020-11-15,30.45,45.09000000000003
2020-11-17,29.6,40.410000000000025
2020-11-19,29.85,36.910000000000025
2020-11-22,28.9,40.950000000000045
2020-11-24,30.0,37.43000000000001
2020-11-26,29.35,41.47000000000003
2020-12-01,30.75,40.610000000000014
2020-12-03,29.0,43.53000000000003
2020-12-04,30.4,42.670000000000016
2020-12-05,29.65,41.03000000000003
2020-12-06,29.35,43.39000000000004
2020-12-07,29.3,41.79000000000002
2020-12-08,30.15,45.21000000000003
2020-12-10,29.0,39.370000000000005
2020-12-11,30.0,43.650000000000034
2020-12-14,30.45,42.190000000000055
2020-12-17,29.85,47.89000000000004
2020-12-19,29.7,40.190000000000055
2020-12-20,28.95,41.910000000000025
2020-12-21,29.9,39.650000000000034
2020-12-22,28.85,46.33000000000004
2020-12-29,29.6,44.370000000000005
2020-12-31,30.3,45.190000000000055
2021-01-02,30.6,49.59000000000003
2021-01-05,29.6,45.79000000000002
2021-01-06,29.75,42.950000000000045
2021-01-07,30.0,45.75000000000006
2021-01-14,27.55,41.950000000000045
2021-01-15,29.7,32.05000000000001
2021-01-16,29.65,50.49000000000001
2021-01-18,30.5,45.75000000000006
2021-02-03,29.45,34.31
2021-02-05,29.35,42.870000000000005
2021-02-06,29.75,45.99000000000001
2021-02-07,29.6,47.410000000000025
2021-02-19,29.45,46.49000000000001
2021-02-24,28.45,37.07000000000005
2021-03-05,28.85,40.950000000000045
2021-03-07,29.15,45.110000000000014
2021-03-09,28.95,44.410000000000025
2021-03-10,28.55,39.39000000000004
2021-03-12,29.15,38.57000000000005
2021-03-14,28.6,40.190000000000055
2021-03-16,28.5,35.150000000000034
2021-03-17,29.35,41.650000000000034
2021-03-23,29.65,38.33000000000004
2021-03-30,28.7,40.25000000000006
2021-04-01,28.85,44.150000000000034
2021-04-02,29.2,40.650000000000034
2021-04-03,29.7,43.93000000000001
2021-04-07,29.9,33.79000000000002
2021-04-08,29.55,40.47000000000003
2021-04-13,28.1,38.57000000000005
2021-04-17,27.0,34.73000000000002
2021-04-20,26.75,35.33000000000004
2021-04-22,27.2,37.23000000000002
2021-04-26,28.5,31.49000000000001
2021-05-01,28.35,32.35000000000002
2021-05-08,28.3,38.81
2021-05-10,26.6,35.53000000000003
2021-05-17,26.6,36.93000000000001
2021-05-19,27.65,36.31
2021-05-20,27.3,28.31
2021-05-22,26.95,32.99000000000001
2021-05-23,26.4,32.27000000000004
2021-05-24,27.2,37.13000000000005
2021-05-25,27.05,31.750000000000057
2021-05-29,27.0,33.450000000000045
2021-05-30,27.65,34.77000000000004
2021-06-02,28.0,35.450000000000045
2021-06-08,28.9,34.85000000000002
2021-06-09,28.2,36.89000000000004
2021-06-11,28.05,32.55000000000001
2021-06-13,28.85,40.97000000000003
2021-06-14,27.25,33.75000000000006
2021-06-15,26.45,33.09000000000003
2021-06-16,28.9,39.83000000000004
2021-06-21,27.85,33.63000000000005
2021-06-26,26.15,31.83000000000004
2021-06-27,26.5,37.01000000000005
2021-06-29,27.1,39.910000000000025
2021-07-06,27.15,39.05000000000001
2021-07-09,27.45,33.13000000000005
2021-07-19,29.25,35.85000000000002
2021-12-02,30.7,49.01000000000005
2021-12-04,29.9,45.450000000000045
2021-12-06,30.15,42.190000000000055
2021-12-07,29.2,36.670000000000016
