Data Medicao,Hora Medicao,TX,LST_Celsius
2009-10-05,1200,26.8,46.964045226130686
2009-10-07,1200,26.3,48.45296482412063
2009-10-09,1200,26.1,44.293391959799024
2009-10-12,1200,24.4,37.749519408502806
2009-10-13,1200,25.6,41.51987437185934
2009-10-14,1200,26.0,45.36118090452264
2009-10-16,1200,27.0,42.16967336683421
2009-10-18,1200,27.2,44.43934673366837
2009-10-19,1200,26.6,44.00472361809049
2009-10-20,1200,26.6,36.6046428571429
2009-10-21,1200,27.5,47.77595477386937
2009-10-22,1200,26.5,39.824798994974905
2009-10-23,1200,27.1,47.36133165829148
2009-10-28,1200,25.4,37.27453757225435
2009-10-30,1200,26.9,45.62527638190958
2009-10-31,1200,27.3,34.70738693467339
2009-11-01,1200,26.9,45.072060301507555
2009-11-03,1200,26.6,45.522160804020125
2009-11-04,1200,27.0,39.696037735849096
2009-11-05,1200,26.9,42.04640703517592
2009-11-06,1200,27.9,47.229748743718616
2009-11-07,1200,26.9,41.729447236180945
2009-11-08,1200,26.7,49.81319095477391
2009-11-10,1200,27.3,45.35206030150757
2009-11-17,1200,25.8,42.57511756569852
2009-11-19,1200,26.3,42.63520100502515
2009-11-20,1200,27.1,43.06366438356169
2009-11-21,1200,27.0,41.75623115577893
2009-11-22,1200,27.2,42.48635398230091
2009-11-23,1200,27.4,45.14145728643221
2009-11-24,1200,27.6,44.63505780346823
2009-11-26,1200,26.9,48.68055276381913
2009-11-27,1200,26.9,41.09449748743722
2009-11-28,1200,28.0,41.6406532663317
2009-11-30,1200,27.6,41.518969849246254
2009-12-01,1200,27.2,47.12436241610743
2009-12-05,1200,27.6,38.8942964824121
2009-12-06,1200,27.5,33.57216080402015
2009-12-07,1200,28.4,45.16937185929652
2009-12-08,1200,26.8,49.99592964824124
2009-12-09,1200,27.1,43.47783919597992
2009-12-10,1200,26.8,47.50834170854273
2009-12-12,1200,24.7,45.23570351758798
2009-12-15,1200,27.6,46.40660804020104
2009-12-16,1200,28.3,40.670000000000016
2009-12-17,1200,26.6,44.385929648241245
2009-12-19,1200,27.5,48.221256281407065
2009-12-28,1200,26.1,34.32914572864325
2009-12-30,1200,26.7,44.07248520710063
2010-01-01,1200,26.3,28.225596590909113
2010-01-06,1200,24.9,37.670000000000016
2010-01-07,1200,25.7,36.75000000000006
2010-01-13,1200,25.5,44.27062814070354
2010-01-15,1200,26.2,35.498140703517606
2010-01-20,1200,24.8,41.78291457286434
2010-01-23,1200,26.8,38.27000000000004
2010-01-24,1200,27.2,37.71668341708546
2010-01-25,1200,26.2,35.32562814070355
2010-01-29,1200,25.1,35.589595959596
2010-01-30,1200,27.4,35.358271092669476
2010-01-31,1200,26.8,33.09148241206033
2010-02-03,1200,27.2,44.51070351758796
2010-02-05,1200,28.0,45.67615577889449
2010-02-07,1200,27.7,46.17130013831261
2010-02-12,1200,26.3,39.565427135678426
2010-02-14,1200,25.8,40.33484924623118
2010-02-19,1200,26.8,36.39075471698117
2010-02-20,1200,27.9,35.24763819095482
2010-02-21,1200,26.8,34.170000000000016
2010-02-23,1200,27.0,44.39732954545456
2010-02-26,1200,27.5,39.661730769230815
2010-02-28,1200,27.9,49.79582914572868
2010-03-02,1200,27.2,46.16467336683421
2010-03-03,1200,28.4,46.3527638190955
2010-03-04,1200,27.1,46.51164133738606
2010-03-06,1200,27.9,40.49000000000001
2010-03-07,1200,27.2,50.63680904522617
2010-03-09,1200,27.5,50.90261306532666
2010-03-11,1200,28.8,51.135879396984954
2010-03-12,1200,27.4,46.40452261306535
2010-03-13,1200,27.3,48.62600502512567
2010-03-14,1200,28.3,47.54247579529738
2010-03-16,1200,27.2,48.33251256281412
2010-03-18,1200,28.5,49.17587939698496
2010-03-20,1200,27.8,44.64133192389011
2010-03-22,1200,25.8,37.870000000000005
2010-03-23,1200,26.7,46.162914572864345
2010-03-25,1200,26.8,44.08643216080404
2010-03-30,1200,28.1,43.05440340909093
2010-03-31,1200,28.2,39.29263698630139
2010-04-01,1200,28.1,42.57528301886797
2010-04-03,1200,27.9,43.6603015075377
2010-04-05,1200,28.8,45.43050251256284
2010-04-06,1200,27.5,42.426859296482434
2010-04-16,1200,26.9,33.29437185929652
2010-04-19,1200,26.1,35.91331658291461
2010-04-20,1200,26.4,25.410000000000025
2010-04-24,1200,25.7,30.549423076923123
2010-04-25,1200,25.8,25.55000000000001
2010-04-26,1200,25.7,33.56494974874376
2010-04-28,1200,25.5,34.36625628140707
2010-04-30,1200,26.2,36.61992462311561
2010-05-01,1200,26.5,39.6470854271357
2010-05-02,1200,26.6,29.805000000000003
2010-05-03,1200,26.7,38.190000000000055
2010-05-07,1200,26.3,39.291733668341735
2010-05-09,1200,25.8,37.30763819095481
2010-05-10,1200,26.3,36.410000000000025
2010-05-11,1200,26.4,33.81025125628145
2010-05-12,1200,27.0,38.01402010050255
2010-05-14,1200,27.2,35.984899497487476
2010-05-15,1200,26.5,36.97620603015078
2010-05-16,1200,26.5,32.05000000000001
2010-05-17,1200,26.9,39.05345991561187
2010-05-18,1200,26.6,33.99000000000001
2010-05-19,1200,26.0,34.57972762645917
2010-05-21,1200,26.3,38.24099431818186
2010-05-25,1200,27.4,36.798606811145525
2010-05-26,1200,26.0,36.037346938775535
2010-05-30,1200,26.9,41.89452261306536
2010-06-01,1200,27.4,36.411271076524024
2010-06-06,1200,23.6,33.08540201005028
2010-06-08,1200,26.2,34.690705882352965
2010-06-09,1200,24.4,32.9076381909548
2010-06-10,1200,24.1,29.47989898989901
2010-06-11,1200,25.3,28.87482876712333
2010-06-20,1200,23.7,32.02630653266335
2010-06-22,1200,23.6,25.950000000000045
2010-06-24,1200,22.9,30.139779507133618
2010-06-26,1200,24.6,30.604371859296517
2010-06-29,1200,24.0,30.696658291457307
2010-07-03,1200,22.9,33.85854271356788
2010-07-04,1200,23.5,28.287516339869324
2010-07-06,1200,22.4,33.59319095477389
2010-07-10,1200,22.9,26.710000000000036
2010-07-12,1200,23.8,29.817261306532693
2010-07-14,1200,23.1,18.708994974874397
2010-07-19,1200,22.6,29.42007537688446
2010-07-20,1200,23.1,36.18643216080406
2010-07-24,1200,23.6,38.2448492462312
2010-07-29,1200,24.1,39.05138190954778
2010-08-02,1200,22.9,40.63909547738696
2010-08-04,1200,24.0,33.422688442211104
2010-08-10,1200,24.4,33.58261306532665
2010-08-13,1200,24.2,38.41660804020105
2010-08-15,1200,24.8,37.80243718592968
2010-08-16,1200,26.2,35.456907514450904
2010-08-18,1200,21.2,33.450000000000045
2010-08-19,1200,22.2,34.376457286432185
2010-08-25,1200,24.5,45.3529396984925
2010-08-26,1200,25.3,39.92816582914576
2010-08-27,1200,23.7,36.75819714656294
2010-08-28,1200,23.9,35.44095477386936
2010-08-30,1200,24.4,43.043894472361835
2010-09-01,1200,23.6,37.606986301369886
2010-09-03,1200,24.8,33.24031791907518
2010-09-05,1200,24.8,44.645653266331706
2010-09-06,1200,23.4,45.01050251256285
2010-09-08,1200,25.7,37.23589147286824
2010-09-10,1200,24.7,45.67914572864326
2010-09-11,1200,24.9,38.784221105527685
2010-09-12,1200,26.3,35.47000000000003
2010-09-15,1200,24.8,42.77407263294427
2010-09-16,1200,25.5,40.1878140703518
2010-09-19,1200,26.3,37.6810301507538
2010-09-21,1200,26.4,36.84668341708546
2010-09-23,1200,26.1,36.44067839195984
2010-09-24,1200,25.7,37.916821705426365
2010-09-26,1200,24.9,40.30052763819096
2010-09-27,1200,26.5,37.43010376134893
2010-09-28,1200,25.2,46.24768844221107
2010-09-29,1200,26.3,49.38582914572866
2010-09-30,1200,26.8,45.87216080402013
2010-10-01,1200,26.4,50.83080402010052
2010-10-02,1200,26.9,42.03311557788946
2010-10-03,1200,26.9,52.79338672768882
2010-10-05,1200,25.8,47.86185929648243
2010-10-06,1200,26.8,48.507135678392
2010-10-07,1200,26.4,48.193015075376906
2010-10-08,1200,27.2,48.688668341708585
2010-10-09,1200,26.3,46.36231155778896
2010-10-10,1200,27.0,51.72731155778898
2010-10-12,1200,27.5,49.21007537688444
2010-10-14,1200,26.7,46.56286432160806
2010-10-15,1200,27.5,47.25092964824122
2010-10-17,1200,26.5,45.55137931034487
2010-10-18,1200,26.1,42.15253768844223
2010-10-19,1200,27.7,50.54557788944726
2010-10-26,1200,25.8,39.08806532663318
2010-10-28,1200,24.8,35.64873925501437
2010-10-30,1200,24.4,38.58859296482415
2010-11-01,1200,26.4,37.57025125628143
2010-11-02,1200,27.0,46.626080402010075
2010-11-03,1200,26.2,38.96831658291459
2010-11-04,1200,26.1,42.99540201005027
2010-11-06,1200,26.5,33.23414772727276
2010-11-08,1200,26.6,40.28522613065329
2010-11-09,1200,25.8,42.725477386934706
2010-11-10,1200,25.4,32.53000000000003
2010-11-11,1200,25.5,41.63438356164387
2010-11-13,1200,26.8,42.61052763819098
2010-11-15,1200,25.9,43.37713567839201
2010-11-16,1200,26.1,43.67701005025128
2010-11-18,1200,25.8,47.25505025125632
2010-11-19,1200,26.5,39.62914383561649
2010-11-20,1200,26.2,46.7488693467337
2010-11-22,1200,25.7,40.332083333333365
2010-11-23,1200,25.9,40.63273869346735
2010-11-25,1200,26.3,37.42275000000003
2010-11-27,1200,26.8,49.47077889447237
2010-11-29,1200,26.3,39.38517587939702
2010-11-30,1200,26.5,43.17080402010051
2010-12-01,1200,25.7,34.24318485523388
2010-12-04,1200,26.9,45.94846733668344
2010-12-06,1200,27.3,42.34346733668345
2010-12-12,1200,25.5,24.15000000000003
2010-12-13,1200,24.8,32.38260700389108
2010-12-15,1200,25.5,27.103463268365832
2010-12-20,1200,25.0,37.51479899497492
2010-12-22,1200,25.4,38.618668341708585
2010-12-25,1200,25.7,33.62827298050141
2010-12-26,1200,25.9,39.0241206030151
2010-12-27,1200,26.0,41.51361809045228
2010-12-28,1200,26.2,37.040502512562846
2010-12-29,1200,26.2,43.00761306532665
2011-01-01,1200,26.2,36.07183066361561
2011-01-03,1200,26.1,42.86701005025128
2011-01-05,1200,25.9,39.44778894472365
2011-01-13,1200,25.7,29.16866834170857
2011-01-14,1200,25.4,36.794497487437205
2011-01-16,1200,26.0,41.47706030150755
2011-01-17,1200,26.2,30.390000000000043
2011-01-27,1200,25.2,31.670000000000016
2011-01-29,1200,25.2,27.105838150289035
2011-01-30,1200,25.7,38.5031909547739
2011-02-01,1200,26.1,28.90350427350431
2011-02-02,1200,25.8,31.461960227272748
2011-02-03,1200,25.6,33.43838174273862
2011-02-10,1200,25.7,39.9200502512563
2011-02-17,1200,25.2,36.770276381909575
2011-02-18,1200,25.4,32.68655778894476
2011-02-19,1200,25.7,35.97669281045753
2011-02-22,1200,25.8,36.286238651102494
2011-02-24,1200,25.6,38.974723618090486
2011-02-26,1200,23.5,33.254961240310095
2011-03-02,1200,25.6,28.931884422110585
2011-03-03,1200,25.0,34.71941780821922
2011-03-05,1200,25.2,36.343542713567864
2011-03-07,1200,25.5,27.496969696969728
2011-03-09,1200,25.7,25.690000000000055
